SPECID,COMMENT_FLAG,COMMENT
G15_Y5_002_088,512,"bad splicing"                        
G15_Y5_002_110,512,"bad splicing"                        
G15_Y5_002_128,512,"bad splicing"                        
G15_Y5_005_006,512,"bad splicing"                        
G15_Y5_005_028,512,"bad splicing"                        
G15_Y5_005_032,512,"bad splicing"                        
G15_Y5_005_103,512,"bad splicing"                        
G15_Y5_005_206,512,"bad splicing"                        
G15_Y5_005_318,512,"bad splicing"                        
G15_Y5_007_294,512,"Bad Splicing"                        
G15_Y5_009_055,512,"BAD ALIGN RED"                       
G15_Y5_009_068,512,"BAD ALIGN RED"                       
G15_Y5_009_070,512,"BAD ALIGN RED"                       
G15_Y5_009_094,512,"BAD ALIGN RED"                       
G15_Y5_009_101,512,"BAD ALIGN RED"                       
G15_Y5_009_133,512,"BAD ALIGN RED"                       
G15_Y5_009_139,512,"BAD ALIGN RED"                       
G15_Y5_009_142,512,"BAD ALIGN RED"                       
G15_Y5_009_146,512,"BAD ALIGN"                           
G15_Y5_009_149,512,"BAD ALIGN RED"                       
G15_Y5_009_160,512,"BAD ALIGN RED"                       
G15_Y5_009_204,512,"BAD ALIGN RED"                       
G15_Y5_009_214,512,"BAD ALIGN"                           
G15_Y5_009_229,512,"BAD ALIGN"                           
G15_Y5_009_233,512,"BAD ALIGN RED"                       
G15_Y5_009_236,512,"BAD ALIGN"                           
G15_Y5_009_241,512,"BAD ALIGN RED"                       
G15_Y5_009_253,512,"BAD ALIGN RED"                       
G15_Y5_009_256,512,"BAD ALIGN"                           
G15_Y5_009_258,512,"BAD ALIGN RED"                       
G15_Y5_009_265,512,"BAD ALIGN RED"                       
G15_Y5_009_269,512,"BAD ALIGN"                           
G15_Y5_009_270,512,"BAD ALIGN"                           
G15_Y5_009_277,512,"BAD ALIGN"                           
G15_Y5_009_281,512,"BAD ALIGN"                           
G15_Y5_009_309,512,"BAD ALIGN"                           
G15_Y5_009_318,512,"BAD ALIGN"                           
G15_Y5_009_319,512,"BAD ALIGN"                           
G15_Y5_009_326,512,"BAD ALIGN"                           
G15_Y5_009_328,512,"BAD ALIGN"                           
G15_Y5_009_330,512,"BAD ALIGN"                           
G15_Y5_009_331,512,"BAD ALIGN"                           
